  Epoch    Dlat    DLon    DHoriz  Dheight 
  496179   0.151  -0.504   0.526  -0.264  
  496180   0.151  -0.502   0.524  -0.261  
  496181   0.145  -0.500   0.520  -0.252  
  496182   0.152  -0.504   0.527  -0.257  
  496183   0.148  -0.505   0.527  -0.260  
  496184   0.147  -0.505   0.525  -0.254  
  496185   0.148  -0.497   0.519  -0.260  
  496186   0.148  -0.500   0.521  -0.262  
  496187   0.148  -0.501   0.522  -0.262  
  496188   0.150  -0.502   0.524  -0.258  
  496189   0.149  -0.501   0.522  -0.260  
  496190   0.151  -0.504   0.526  -0.257  
  496191   0.150  -0.505   0.527  -0.255  
  496192   0.150  -0.504   0.526  -0.259  
  496193   0.148  -0.512   0.533  -0.248  
  496194   0.145  -0.502   0.523  -0.248  
  496195   0.143  -0.502   0.522  -0.250  
  496196   0.150  -0.502   0.524  -0.261  
  496197   0.153  -0.505   0.527  -0.267  
  496198   0.153  -0.506   0.528  -0.265  
  496199   0.148  -0.509   0.530  -0.253  
  496200   0.147  -0.505   0.526  -0.263  
  496201   0.145  -0.503   0.524  -0.268  
  496202   0.137  -0.506   0.525  -0.259  
  496203   0.136  -0.504   0.522  -0.261  
  496204   0.137  -0.503   0.521  -0.265  
  496205   0.137  -0.503   0.521  -0.265  
  496206   0.140  -0.503   0.522  -0.265  
  496207   0.145  -0.509   0.529  -0.260  
  496208   0.147  -0.506   0.527  -0.268  
  496209   0.146  -0.513   0.534  -0.255  
  496210   0.140  -0.509   0.528  -0.256  
  496211   0.135  -0.506   0.524  -0.256  
  496212   0.143  -0.505   0.525  -0.261  
  496213   0.149  -0.505   0.526  -0.263  
  496214   0.148  -0.509   0.530  -0.262  
  496215   0.153  -0.507   0.530  -0.268  
  496216   0.149  -0.506   0.527  -0.260  
  496217   0.149  -0.505   0.527  -0.261  
  496218   0.146  -0.505   0.526  -0.267  
  496219   0.151  -0.505   0.528  -0.260  
  496220   0.152  -0.507   0.530  -0.266  
  496221   0.154  -0.510   0.533  -0.265  
  496222   0.157  -0.507   0.530  -0.267  
  496223   0.157  -0.504   0.528  -0.261  
  496224   0.152  -0.504   0.526  -0.268  
  496225   0.149  -0.502   0.524  -0.265  
  496226   0.148  -0.504   0.526  -0.256  
  496227   0.150  -0.508   0.529  -0.250  
  496228   0.152  -0.508   0.530  -0.251  
  496229   0.151  -0.503   0.526  -0.254  
